term,question,points,topic,what_to_understand,likely_lecture
SS24,Aufgabe 2a,3,Same-Day配送の不確実性カテゴリ,需要・リソース・環境の不確実性を具体例で挙げること。,Lecture 3 / 11
SS24,Aufgabe 2b,3,サービス時間分布の典型的性質,非負・右裾・分散/期待値など、サービス時間PDFの直感を説明すること。,Lecture 3
SS24,Aufgabe 3a,6,MDPグラフで最適政策とGreedy政策を比較,期待報酬を計算し、短期最適と長期最適の違いを判断すること。,Lecture 5
SS24,Aufgabe 3b,4,Post-Decision Stateを特徴量に集約したVFAの意思決定,近似価値を含めた期待総報酬で決定を選ぶこと。,Lecture 8 / 9
SS24,Aufgabe 3c,4,Bellman方程式と計算不能になる部分,max/期待値/遷移列挙が状態・遷移増大で爆発することを示すこと。,Lecture 5
SS24,Aufgabe 4,8,Multiple Scenario ApproachとConsensus Function,複数シナリオの独立解から一致度を測り、現在決定を抽出する考え方を説明すること。,Lecture 7
SS24,Aufgabe 5,20,一週間のパッケージ配送をMDP/VFA/PFAとしてモデル化,決定時点、状態、決定、費用、後決定状態、外生情報、遷移、目的関数を具体化すること。,Lecture 5 / 8
WS24/25,Aufgabe 1,10,2値の楽観/悲観旅行時間、複数値、regret,区間・複数シナリオ・後悔最小化をツアープランニングに適用すること。,Lecture 3
WS24/25,Aufgabe 2,10,離散時点の確率的問題に対する動的計画法,後ろ向き再帰、Bellman方程式、価値関数、最適戦略を説明すること。,Lecture 5
WS24/25,Aufgabe 3,12,stochasticとquasi-stochasticの違いと各手法,分布がある場合/ない場合の適用手法を2つずつ説明すること。,Lecture 3 / 7
WS24/25,Aufgabe 4,6,Rollout/VFAのシミュレーションホライズン,SS23 Q1と同じ論点。ホライズン設定を例とともに説明すること。,Lecture 7 / 8
WS24/25,Aufgabe 5,22,HarzダムをMDP/VFAとしてモデル化,貯水量・降水・放流・エネルギー発電・供給義務をMDP/VFAへ落とすこと。,Lecture 5 / 8
SS25,Exercise 1,2,a priori optimizationの動的意思決定に対する利点,静的最適化の単純性・計算容易性などを説明すること。,Lecture 4
SS25,Exercise 2,6,FIFO条件,WS23/24 Q4と同じ論点。旅行時間モデルの整合性を説明すること。,Lecture 2
SS25,Exercise 3,4,予測なし動的在庫問題で注文を発生させる方法,WS23/24 Q10と同じ論点。CFA/ペナルティで行動を誘導すること。,Lecture 7 / 8
SS25,Exercise 4,4,指数分布から確率的遷移をサンプリングする手順,分布・パラメータ・乱数サンプル・外生情報の生成を説明すること。,Lecture 3 / 7
SS25,Exercise 5,4,feature selectionとdimensionality reductionの違い,特徴量を選ぶのか、新しい低次元表現に変換するのかを例で区別すること。,Lecture 9
SS25,Exercise 6,8,動的在庫問題の外生プロセス・決定プロセス・状態空間・報酬,MDPを抽象要素で表すこと。,Lecture 5
SS25,Exercise 7,6,MDPの構成要素,状態、決定、外生情報、遷移、報酬、目的関数などを列挙すること。,Lecture 5
SS25,Exercise 8,4,Hurwicz基準の機能と適用条件,楽観係数で最良/最悪ケースを重み付けする準確率的判断基準を説明すること。,Lecture 3
SS25,Exercise 9,10,5つのADP method classesと各欠点,各クラスの機能だけでなく、欠点を1つずつ説明すること。,Lecture 7 / 10
SS25,Exercise 10,12,ADP手法の2つ組み合わせを3例提案,組み合わせの狙い、補完関係、期待利点を説明すること。,Lecture 10
